,instancias,Otimo,MedSolHeu,MelSolHeu,MedTimeHeu,GapHeu,MedSolMetHeu,MelSolMetHeu,MedTimeMetHeu,GapMetHeu
0,P-n19-k2,212,473.0,473,0.0005045413970947265,123.11320754716981,310.3,312,3.3250314235687255,47.16981132075472
1,P-n20-k2,216,527.0,527,0.0009016275405883789,143.9814814814815,323.7,320,5.641246962547302,48.148148148148145
2,P-n23-k8,529,722.0,722,0.0011032819747924805,36.48393194706994,605.6,633,5.450385665893554,19.659735349716446
3,P-n45-k5,568,1548.0,1548,0.00459902286529541,172.53521126760563,884.7,838,66.665789270401,47.53521126760563
4,P-n50-k10,741,1619.0,1619,0.005899262428283691,118.48852901484481,1023.0,998,78.91195564270019,34.68286099865047
5,P-n51-k10,696,1772.0,1772,0.0066022157669067385,154.5977011494253,1153.7,1054,76.23271777629853,51.43678160919541
6,P-n55-k7,510,1762.0,1762,0.007201957702636719,245.49019607843138,868.4,888,136.61085772514343,74.11764705882354
