,instancias,Otimo,MedSolHeu,MelSolHeu,MedTimeHeu,GapHeu,MedSolMetHeu,MelSolMetHeu,MedTimeMetHeu,GapMetHeu
0,P-n19-k2,212,473.0,473,0.0008018255233764648,123.11320754716981,301.3,308,2.8143982887268066,45.28301886792453
1,P-n20-k2,216,527.0,527,0.0009990215301513671,143.9814814814815,370.9,308,2.8813010692596435,42.592592592592595
2,P-n23-k8,529,722.0,722,0.0014003753662109376,36.48393194706994,612.1,655,5.528199481964111,23.81852551984877
3,P-n45-k5,568,1548.0,1548,0.005198621749877929,172.53521126760563,1233.4,1326,15.724198174476623,133.45070422535213
4,P-n50-k10,741,1619.0,1619,0.006200575828552246,118.48852901484481,1448.7,1449,16.848964047431945,95.54655870445345
5,P-n51-k10,696,1772.0,1772,0.006701278686523438,154.5977011494253,1537.8,1509,19.61658787727356,116.8103448275862
6,P-n55-k7,510,1762.0,1762,0.007501649856567383,245.49019607843138,1531.8,1404,20.96358208656311,175.2941176470588
